Is Benign(EOI)?,Number of DHT Markers,Number of DQT Markers,Total Number of Markers,Maximum size used in %,Make of file,Model of file,Max Marker Size for DHT(FFC4),Max Marker Size for DQT FFDB,Max Marker Size for APP1(FFE0),Max Marker Size for APP12(FFEF),Max Marker Size for COM(FFFE),Label
1,4,2,11,20.8,0,0,89,69,18,0,0,0
1,2,2,26,1.7,0,0,420,134,528,0,57,0
1,5,1,16,82.4,0,0,75,82,18,0,60,0
1,9,4,24,13,2,2,183,69,0,0,0,0
1,1,1,12,13.8,0,0,217,153,72,0,0,0
1,4,2,11,33,0,0,62,69,18,0,0,0
1,2,2,15,15.7,0,0,420,134,470,0,33,1
1,4,2,10,7.2,2,2,183,69,0,0,0,1
1,1,1,7,14.6,0,0,198,134,53,0,0,0
1,4,2,18,8.6,0,0,74,69,18,0,30,0
1,12,4,46,3.2,0,0,321,134,414,0,0,1
1,4,1,10,38.8,0,0,87,134,116,0,0,1
0,4,2,12,3.2,0,0,183,69,18,0,62,1
1,10,2,26,7.1,0,0,71,88,2997,0,0,1
1,1,1,7,4.7,0,0,163,134,53,0,0,1
0,4,2,12,11.4,0,0,183,69,18,0,61,1
0,4,2,11,7.1,2,2,183,69,2348,0,0,1
1,2,1,8,31.8,0,0,183,134,18,0,0,0
0,4,2,12,5.4,0,0,183,69,18,0,61,1
1,4,2,13,13.3,0,0,84,69,18,0,2953,0
1,10,2,24,6.2,0,0,73,88,18,0,0,1
1,2,1,8,17.5,0,0,183,134,18,0,0,0
1,4,2,11,9.5,0,0,183,69,18,0,0,1
0,2,2,19,32.8,0,0,321,134,412,0,56,1
0,4,2,12,1.1,0,0,183,69,18,0,61,1
1,1,1,7,8.4,0,0,145,134,53,0,0,0
0,10,8,1245,1.6,0,0,183,535,136113,726,16146,1
1,4,1,11,8.7,0,0,183,134,18,0,30,0
1,4,1,11,7.8,0,0,183,134,18,0,30,0
1,10,2,24,7.2,0,0,66,88,686,0,0,1
1,4,1,11,10.4,0,0,183,134,18,0,30,0
1,10,2,25,5.2,0,0,63,88,18,0,0,1
1,4,1,11,4.8,0,0,183,134,18,0,30,0
1,4,2,11,10,0,0,92,69,18,0,0,1
1,2,2,27,12.2,0,0,321,134,560,0,0,0
1,4,1,11,7.5,0,0,183,134,18,0,30,0
0,4,2,12,15.3,0,0,183,69,18,0,61,1
1,3,3,69,2.4,0,0,321,134,346,0,0,0
1,4,1,10,7.1,0,0,70,134,62,0,0,1
1,4,2,12,6.3,0,0,106,69,18,0,17,0
1,1,1,19,9.9,0,0,287,153,77,0,0,0
1,4,2,11,15.7,0,0,52,69,18,0,0,0
1,4,2,11,9.9,0,0,55,69,18,0,0,1
1,3,3,34,1.9,2,2,420,134,1022,0,0,0
1,4,2,18,10.5,0,0,69,69,18,0,30,0
1,4,1,11,4.8,0,0,183,134,18,0,30,0
1,4,2,11,23.9,0,0,183,69,302,0,0,1
1,4,2,11,9.2,0,0,80,69,18,0,0,0
1,4,2,12,4.9,0,0,97,69,18,0,17,0
1,4,2,11,14.6,0,0,53,69,18,0,0,0
1,3,3,39,7.3,0,0,420,134,330,0,0,0
1,3,3,53,6.1,0,0,321,134,354,0,0,0
1,1,1,15,12.4,0,0,255,153,72,0,0,0
1,5,3,17,0.7,0,2,420,134,1250,0,0,1
1,3,3,30,3.2,0,0,321,134,330,0,0,0
1,5,3,22,2.4,2,2,420,134,957,0,0,0
1,4,2,11,12.9,0,0,81,69,18,0,0,0
1,10,2,25,8.1,0,0,72,88,18,0,0,0
1,4,2,11,3.4,0,0,183,69,18,0,0,0
1,6,4,25,2.6,2,2,420,134,4112,0,0,1
1,4,2,11,20.9,0,0,76,69,18,0,0,0
1,2,2,24,2.6,0,0,420,134,856,0,0,0
0,4,2,12,1.1,0,0,183,69,18,0,61,1
1,4,2,11,10.1,0,0,54,69,18,0,0,0
1,4,2,11,9.6,0,0,183,69,54,0,0,0
1,3,3,45,3.9,0,0,420,134,330,0,0,0
1,3,3,77,3.5,2,2,420,134,1066,0,0,0
1,1,1,7,12.4,0,0,166,134,53,0,0,0
1,4,2,12,3.8,0,0,109,69,18,0,168,0
1,10,2,26,6.7,0,0,55,88,18,0,64,1
1,1,1,18,11.1,0,0,174,153,0,0,0,1
1,4,2,11,29.2,0,0,71,69,18,0,0,0
1,5,3,24,22,0,0,321,134,48,0,190,0
1,1,1,7,2.7,0,0,274,134,53,0,0,0
1,4,2,11,3.2,0,0,42,69,18,0,0,1
1,4,2,11,29.2,0,0,86,69,18,0,0,0
1,4,2,11,2.7,0,2,47,69,1080,0,0,1
1,4,2,11,4.4,1,1,0,183,69,181,0,1
0,1,1,6,2.4,0,0,420,134,0,0,0,1
1,4,2,11,8.1,0,0,94,69,18,0,0,0
1,4,2,11,7.1,0,0,183,69,18,0,0,1
1,1,1,8,7.6,0,0,200,134,2950,0,0,0
1,3,3,37,7.5,0,0,321,134,710,0,0,0
1,4,1,11,4.4,0,0,183,134,18,0,30,0
1,10,2,25,11.5,0,0,64,88,44,0,0,1
1,4,1,11,4.4,0,0,183,134,18,0,30,0
1,1,1,7,2.8,0,0,216,134,53,0,0,0
1,12,4,54,7.6,2,2,154,134,932,0,0,1
0,4,2,12,13.2,0,0,183,69,18,0,61,1
1,4,2,11,14.7,0,0,80,69,18,0,0,0
0,4,2,12,1,0,0,183,69,18,0,61,1
1,1,1,19,6.2,0,0,235,153,77,0,0,0
0,4,2,12,1.1,0,0,183,69,18,0,61,1
1,1,1,7,9.4,0,0,194,134,53,0,0,0
0,4,2,11,9.1,0,0,71,69,18,0,0,1
0,4,2,11,10.7,0,0,183,69,18,0,0,1
1,5,1,16,51.4,0,0,80,82,18,0,60,0
1,2,1,8,18.8,0,0,63,69,18,0,0,0
1,1,1,7,6.6,0,0,175,134,53,0,0,0
1,10,2,25,10.8,0,0,79,88,218,0,0,1
1,4,2,11,12.7,0,0,77,69,18,0,0,0
1,3,3,25,0.1,0,0,420,134,0,0,0,1
1,4,1,11,4.7,0,0,183,134,18,0,30,0
1,4,2,11,18.6,0,0,66,69,18,0,0,0
1,1,1,7,2.7,0,0,191,134,53,0,0,0
1,4,2,11,5.2,0,0,183,69,18,0,0,1
1,1,1,7,12.3,0,0,198,134,53,0,0,0
1,4,2,11,15.8,0,0,76,69,18,0,0,0
1,2,1,8,20.4,0,0,183,134,18,0,0,0
0,4,2,12,1.1,0,0,183,69,18,0,61,1
1,5,1,16,57.6,0,0,77,82,18,0,60,0
0,4,2,11,8.6,0,0,65,69,18,0,0,1
1,3,3,98,13.3,2,2,420,134,842,0,0,0
1,5,3,22,6.3,0,0,321,134,18,0,1267,0
1,4,2,11,12.3,0,0,63,69,18,0,0,0
1,3,3,40,3.2,2,2,420,134,1098,0,0,0
1,4,1,11,6.2,0,0,183,134,18,0,30,0
0,98,151,3066,0,0,0,27403,16917,16674,30130,18752,1
1,4,2,11,20.3,0,0,183,69,18,0,0,1
1,4,2,11,4.6,0,0,72,69,18,0,0,1
1,1,1,7,62.7,1,1,0,157,134,216,0,1
1,2,1,8,29,0,0,183,134,18,0,0,0
1,10,2,24,13.3,0,0,72,88,686,0,0,1
1,4,2,12,17.4,0,0,183,69,18,0,61,1
1,1,1,8,20.3,0,0,186,134,2950,0,0,0
1,1,1,9,11.2,0,0,420,134,18,0,33,0
0,4,2,11,7.8,0,0,65,69,18,0,0,1
1,3,3,28,5.1,2,2,420,153,2293,0,0,0
1,4,1,11,6.3,0,0,183,134,18,0,30,0
1,4,2,12,3.1,0,0,183,69,18,0,91,0
1,2,1,8,19.5,0,0,183,134,18,0,0,0
1,2,2,34,16.9,0,0,321,134,390,0,57,0
0,4,2,12,14.2,0,0,183,69,18,0,61,1
0,4,2,12,15.6,0,0,183,69,18,0,61,1
1,3,3,34,2.3,0,0,321,153,418,0,0,0
1,4,1,11,10.7,0,0,183,134,18,0,30,0
1,4,2,11,20.1,0,0,102,69,18,0,0,0
1,1,1,8,10.1,0,0,204,134,2950,0,0,0
1,1,1,16,6.7,0,0,420,134,344,0,0,0
1,2,2,31,7.3,0,0,420,134,714,0,0,0
0,4,2,11,1.7,0,0,50,69,18,0,0,1
1,4,2,11,10.4,0,0,84,69,18,0,0,0
1,4,2,11,10.7,0,0,81,69,18,0,0,0
1,10,2,26,22.1,0,0,50,88,18,0,52,1
1,1,1,7,11.7,0,0,185,134,53,0,0,0
1,4,2,11,8.9,0,0,183,69,18,0,0,0
1,2,2,41,59.3,0,0,321,134,64,0,57,0
1,4,2,12,9.8,0,0,183,69,18,0,61,0
1,1,1,6,25,0,0,171,134,0,0,0,1
1,1,1,7,11,0,0,180,134,53,0,0,0
1,5,1,16,52,0,0,77,82,18,0,60,0
1,4,2,11,13.2,0,0,183,69,18,0,0,0
1,1,1,7,10.5,1,1,0,163,134,398,0,1
1,6,7,373,13.6,2,2,420,199,0,24,2053,0
0,4,2,12,1.1,0,0,183,69,18,0,61,1
1,1,1,7,10.2,0,0,209,134,53,0,0,0
1,10,2,26,12,0,0,68,88,18,0,111,1
1,4,2,11,13.8,0,0,81,69,18,0,0,0
1,10,2,25,13.7,0,0,51,88,18,0,0,1
1,4,2,12,2.2,0,0,114,69,18,0,57,0
1,4,2,11,12.2,0,0,183,69,18,0,0,0
1,10,2,26,8.1,0,0,63,88,18,0,25,0
0,4,2,12,22.3,0,0,183,69,18,0,61,1
1,5,3,24,22,0,0,321,134,48,0,190,0
1,1,1,6,5.7,1,1,0,200,134,0,0,1
1,4,2,11,13.2,0,0,79,69,18,0,0,0
1,2,1,8,19.2,0,0,183,134,18,0,0,0
1,4,2,12,6.3,0,0,102,69,18,0,17,0
1,3,3,27,0.4,0,0,420,134,0,0,0,1
1,2,1,8,18.4,0,0,62,69,18,0,0,0
1,1,1,7,13.4,0,0,175,134,53,0,0,0
1,1,1,7,12.3,0,0,193,134,53,0,0,0
0,4,2,11,7.7,0,0,69,69,18,0,0,1
1,4,2,11,14.7,0,0,183,69,18,0,0,0
0,1,1,14,10.6,0,0,264,153,0,0,0,1
1,5,3,21,3.7,2,2,321,134,48,0,14312,0
1,4,2,11,11,0,0,183,69,18,0,0,0
1,4,2,11,5.6,2,2,183,69,786,0,0,1
1,2,1,8,19.7,0,0,183,134,18,0,0,0
1,1,1,7,8.9,0,0,190,134,53,0,0,0
1,4,1,11,3.5,0,0,183,134,18,0,30,0
1,4,2,11,18.4,0,0,183,69,18,0,0,0
1,4,2,12,13.7,0,0,79,69,2931,0,0,0
1,4,2,11,18.4,0,0,183,69,18,0,0,0
0,4,2,12,1,0,0,183,69,18,0,61,1
0,3,3,25,2.4,0,0,420,134,322,0,0,1
1,2,2,27,4.3,0,0,420,134,720,0,0,0
1,10,2,25,5.9,0,0,49,88,18,0,0,1
1,5,1,16,51.7,0,0,81,82,18,0,60,0
1,2,1,8,25.3,0,0,183,134,18,0,0,0
0,10,2,26,3.7,0,0,40,88,489,0,0,1
1,5,3,24,28.7,0,0,321,134,48,0,190,0
1,2,1,8,15.3,0,0,62,69,18,0,0,0
1,2,1,9,52.5,0,0,88,69,18,0,56,0
1,4,2,11,13,0,0,183,69,18,0,0,0
1,4,1,11,8.1,0,0,183,134,18,0,30,0
1,2,1,8,25.5,0,0,183,134,18,0,0,0
0,4,2,12,1.1,0,0,183,69,18,0,61,1
1,4,1,10,20.7,0,0,75,134,116,0,0,1
1,4,2,11,11.9,0,0,183,69,18,0,0,0
1,1,1,17,6.6,0,0,420,134,344,0,0,0
1,4,1,10,5.6,0,0,55,134,62,0,0,1
1,4,2,11,6.4,0,0,56,69,18,0,0,1
1,4,1,10,7.5,0,0,71,134,168,0,0,1
1,1,1,8,11,0,0,188,134,2950,0,0,0
1,2,1,8,11.1,0,0,63,69,18,0,0,0
1,5,1,16,53,0,0,80,82,18,0,60,0
1,4,2,11,17.3,0,0,183,69,18,0,0,0
1,4,2,11,3.5,0,0,67,69,18,0,0,0
1,3,3,58,2.5,1,1,0,420,134,465,0,1
1,4,2,11,7.8,0,0,183,69,18,0,0,0
1,4,1,10,10.7,0,0,85,134,62,0,0,1
1,4,2,11,13.1,0,0,91,69,18,0,0,0
1,4,2,11,19.1,0,0,83,69,18,0,0,0
0,4,2,12,10,0,0,183,69,18,0,61,1
1,4,1,10,9,0,0,95,134,62,0,0,1
1,1,1,19,5.4,0,0,254,153,77,0,0,0
1,5,3,17,4.7,2,2,420,134,906,0,0,1
0,4,2,12,0.1,0,0,183,69,18,0,64,1
0,4,2,12,2.9,0,0,183,69,18,0,62,1
0,4,2,12,1.1,0,0,183,69,18,0,61,1
1,2,1,8,22.1,0,0,183,134,18,0,0,0
1,1,1,28,7.5,0,0,420,134,1463,0,0,1
0,4,1,10,0.7,0,0,84,134,116,0,0,1
1,8,4,39,12.9,2,2,183,69,2570,0,0,1
1,4,2,12,27.6,0,0,93,69,18,0,52,0
1,2,2,37,5.7,0,0,420,134,950,0,0,0
1,4,2,11,17.7,0,0,183,69,116,0,0,1
1,4,1,11,9.1,0,0,66,134,18,0,454,1
1,3,3,53,4.9,0,0,321,134,354,0,0,0
1,12,4,45,2.6,2,2,420,199,1795,0,0,1
1,4,2,12,7.3,0,0,183,69,18,0,61,1
1,4,1,10,7.7,0,0,94,134,62,0,0,1
1,4,2,10,6.1,0,0,60,69,0,0,0,1
1,4,2,11,15.1,0,0,183,69,18,0,0,0
1,1,1,8,26.2,0,0,148,134,53,0,0,0
1,4,2,12,14.9,0,0,183,69,18,0,61,1
1,4,1,11,6.3,0,0,183,134,18,0,30,0
0,1,1,6,3.8,0,0,149,134,0,0,0,1
1,8,4,25,15.8,1,1,0,94,69,1142,0,1
1,4,2,12,3.6,1,1,0,183,69,181,0,1
1,4,2,11,13,0,0,81,69,18,0,0,0
1,1,1,6,6,0,0,420,134,0,0,0,1
1,4,1,11,7.2,0,0,183,134,18,0,30,0
1,3,3,37,6.3,0,0,321,134,710,0,0,0
1,4,2,11,18.7,0,0,82,69,18,0,0,0
1,3,3,30,6.3,0,0,321,153,322,0,0,0
1,3,3,36,5.1,2,2,321,134,910,0,0,1
1,4,1,10,7.6,0,0,93,134,572,0,0,1
1,2,2,58,14.1,0,0,420,134,858,0,0,0
1,10,2,25,6.1,0,0,70,88,18,0,0,0
1,4,1,10,7.8,0,0,90,134,62,0,0,1
1,5,3,24,20.2,0,0,321,134,48,0,190,0
1,1,1,7,16.2,0,0,166,134,53,0,0,0
1,4,2,11,14.6,0,0,85,69,18,0,0,1
1,4,2,11,26.3,0,0,183,69,18,0,0,0
1,4,2,11,20.4,0,0,76,69,18,0,0,0
0,1,1,83,4.1,0,0,185,134,7014,293,14271,1
1,4,2,11,7.7,0,0,183,69,18,0,0,0
1,4,2,15,4.2,2,2,183,69,511,0,0,0
0,4,2,11,8.7,0,0,67,69,18,0,0,1
1,1,1,18,5.3,0,0,339,153,0,0,0,1
1,4,2,11,21.7,0,0,72,69,18,0,0,0
1,1,1,7,5.8,0,0,236,134,53,0,0,0
1,4,2,12,15.1,0,0,82,69,2931,0,0,0
1,1,1,6,15.4,0,0,134,134,0,0,0,1
1,4,2,11,23,0,0,183,69,18,0,0,0
1,4,2,12,5,0,0,94,69,18,0,17,0
1,4,2,11,16.4,0,0,92,69,18,0,0,0
1,2,1,8,16.5,0,0,183,134,18,0,0,0
1,4,1,10,6.2,0,0,66,134,62,0,0,1
1,4,2,12,26,0,0,183,69,18,0,61,1
0,6,4,24,38.9,2,2,420,134,884,0,0,1
1,1,1,19,4.8,0,0,234,153,77,0,0,0
1,4,2,11,5.9,1,1,0,60,69,181,0,1
1,5,3,22,4.6,2,2,420,134,1784,0,0,1
1,11,2,28,13.6,0,0,79,88,2505,0,0,1
0,4,2,12,1.1,0,0,183,69,18,0,61,1
0,4,2,12,5.1,0,0,183,69,18,0,61,1
1,2,2,12,24.1,0,0,420,134,0,0,0,1
1,4,1,11,7.8,0,0,183,134,18,0,30,0
0,4,2,16,9,0,0,183,69,18,0,559,1
1,10,2,25,4.7,0,0,95,88,18,0,0,0
1,4,2,11,8.1,0,0,183,69,18,0,0,0
1,3,3,25,0.1,0,0,420,134,0,0,0,1
1,10,2,25,9.1,0,0,60,88,18,0,0,1
1,4,2,11,12.2,0,0,183,69,18,0,0,0
1,4,2,12,8.5,0,0,183,69,18,0,61,1
0,4,2,12,4,0,0,53,69,489,0,0,1
1,4,2,11,15.3,0,0,79,69,18,0,0,0
0,4,2,11,1,0,0,183,69,116,0,0,1
1,4,2,11,15.1,0,0,75,69,18,0,0,0
1,4,2,12,15.5,0,0,84,69,2931,0,0,0
1,4,1,11,3.9,0,0,183,134,18,0,30,0
1,4,2,11,13.2,0,0,82,69,18,0,0,0
1,4,2,11,6.1,0,0,73,69,18,0,0,0
1,1,1,7,0.5,0,0,151,134,0,0,0,1
1,4,2,11,11.4,0,0,74,69,18,0,0,1
1,1,1,7,18,0,0,176,134,53,0,0,0
1,4,2,11,10,0,0,86,69,18,0,0,0
1,3,3,48,1.9,2,2,321,134,834,0,0,0
1,1,1,7,4.7,0,0,183,134,53,0,0,0
1,4,2,12,12.3,0,0,85,69,2931,0,0,0
1,2,2,35,5.2,0,0,420,134,428,0,56,0
1,3,3,30,3.9,0,0,382,153,330,0,0,0
0,1,1,6,2.3,0,0,184,134,0,0,0,1
1,4,1,12,17,0,0,73,134,2359,0,0,1
1,2,1,8,22.4,0,0,183,134,18,0,0,0
1,10,2,25,12.5,0,0,74,88,18,0,0,0
1,4,2,12,36.8,0,0,92,69,18,0,52,0
1,4,2,12,7.7,0,0,183,69,18,0,61,1
1,4,2,11,14,0,0,63,69,118,0,0,1
1,10,2,24,4.4,0,0,109,88,144,0,0,1
1,1,1,15,9.9,0,0,275,153,72,0,0,0
1,4,2,11,10.7,0,0,90,69,18,0,0,0
1,4,2,11,13,0,0,183,69,18,0,0,0
0,4,2,11,7,2,2,183,69,2348,0,0,1
1,10,2,25,5.5,0,0,46,88,18,0,0,1
1,4,1,10,7.7,0,0,68,134,62,0,0,1
1,4,2,11,4.6,0,0,183,69,18,0,0,1
1,4,2,12,2.1,1,1,0,183,69,181,0,1
1,2,1,8,28.1,0,0,183,134,18,0,0,0
1,3,3,34,1.8,0,0,420,134,330,0,0,1
1,4,2,11,16.3,0,0,183,69,18,0,0,0
1,1,1,19,4.6,0,0,268,153,77,0,0,0
0,4,2,12,4.1,0,0,183,69,18,0,61,1
0,4,2,12,1.1,0,0,183,69,18,0,61,1
1,10,2,25,6,0,0,53,88,18,0,0,1
1,4,2,11,12.4,0,0,183,69,18,0,0,0
1,12,4,43,7.8,0,0,321,134,330,0,0,1
1,4,2,12,6.4,0,0,108,69,18,0,17,0
1,4,1,11,4.6,0,0,183,134,18,0,30,0
1,4,2,11,15.4,0,0,183,69,18,0,0,0
0,4,2,12,1,0,0,183,69,18,0,61,1
1,2,2,28,15.1,0,0,420,134,396,0,57,0
1,10,2,25,5.3,0,2,74,88,1080,0,0,1
1,4,2,11,8.3,0,0,183,69,18,0,0,0
1,3,3,52,5.5,0,0,420,134,330,0,0,0
1,4,1,11,5.8,0,0,183,134,18,0,30,0
1,4,1,10,14.3,0,0,88,134,146,0,0,1
1,4,1,10,18.6,0,0,75,134,116,0,0,1
1,8,4,23,9.7,0,0,183,69,18,0,301,1
1,4,1,11,3.5,0,0,183,134,18,0,30,0
1,10,2,25,18.5,0,0,71,88,18,0,0,0
1,1,1,7,9.2,0,0,164,134,53,0,0,1
1,4,2,11,13.8,0,0,76,69,18,0,0,0
0,10,2,25,1.5,0,0,45,88,18,0,0,1
1,4,2,11,12.8,0,0,183,69,18,0,0,0
0,4,23,2159,0.7,0,0,4497,3244,3474,5202,7722,1
1,2,2,22,2.1,0,0,420,134,560,0,56,0
1,2,1,8,20.2,0,0,183,134,18,0,0,0
0,4,2,12,1.1,0,0,183,69,18,0,61,1
1,4,2,12,13.7,0,0,183,69,18,0,61,1
1,4,2,11,11.1,0,0,183,69,18,0,0,0
1,1,1,7,15.5,0,0,211,134,53,0,0,1
1,5,3,22,5,0,0,321,134,34,0,8023,0
1,1,1,7,4.8,0,0,179,134,53,0,0,1
1,4,2,11,12.7,0,0,183,69,18,0,0,0
1,4,2,11,2.1,0,0,83,69,18,0,0,1
1,4,1,11,7.9,0,0,183,134,18,0,30,0
1,4,2,11,15.5,0,0,86,69,18,0,0,0
0,4,2,12,1.1,0,0,183,69,18,0,61,1
1,1,1,8,19.9,0,0,420,134,18,0,4,0
1,4,2,11,12,0,0,183,69,18,0,0,0
0,4,2,12,5.7,0,0,183,69,18,0,61,1
0,4,2,11,11.1,0,0,183,69,18,0,0,1
1,1,1,19,5.2,0,0,225,153,77,0,0,0
1,1,1,7,9,0,0,187,134,53,0,0,0
0,2,2,30,3.4,0,0,420,134,618,0,0,1
1,2,1,8,18,0,0,183,134,18,0,0,0
0,4,2,12,2.7,0,0,183,69,18,0,62,1
0,4,2,11,6.6,2,2,183,69,2528,0,0,1
1,4,2,10,10.9,0,0,95,69,0,0,0,1
1,4,2,11,8.7,0,0,62,69,18,0,0,0
1,10,2,25,6.3,2,2,77,88,654,0,0,1
0,4,2,12,10.8,0,0,183,69,18,0,61,1
0,1,1,6,2.6,0,0,164,134,0,0,0,1
1,1,1,7,13,0,0,196,134,53,0,0,0
1,4,2,12,6.3,0,0,106,69,18,0,17,0
0,4,1,14,11.7,0,0,83,134,140,0,0,1
1,2,2,21,3.4,0,0,321,153,880,0,0,0
1,4,2,11,10.4,0,0,56,69,18,0,0,0
1,4,2,12,5,0,0,90,69,18,0,17,0
1,4,1,10,6.5,0,0,71,134,18,0,0,1
1,1,1,6,16.7,0,0,181,134,0,0,0,1
1,4,2,11,5.7,0,0,81,69,18,0,0,0
1,4,2,11,22.5,0,0,183,69,18,0,0,0
1,4,2,11,11.6,1,1,0,183,69,181,0,1
1,4,2,12,14.9,0,0,183,69,18,0,61,1
1,4,1,10,5.8,0,0,74,134,368,0,0,1
1,4,2,11,11.6,0,0,183,69,18,0,0,0
0,4,2,12,1.1,0,0,183,69,18,0,61,1
1,4,2,11,21,0,0,55,69,18,0,0,0
1,4,2,12,20.6,0,0,183,69,18,0,61,1
1,4,2,12,7.2,0,0,108,69,18,0,17,0
1,1,1,12,11.3,0,0,189,153,72,0,0,0
1,4,2,11,20.3,0,0,183,69,18,0,0,0
1,4,1,11,5,0,0,183,134,18,0,30,0
1,4,2,11,10,0,0,183,69,18,0,0,0
1,4,1,10,22.7,0,0,66,134,18,0,0,1
1,1,1,7,1.5,0,0,139,134,53,0,0,1
1,4,2,11,28.8,0,0,183,69,18,0,0,0
1,2,1,8,23.2,0,0,183,134,18,0,0,0
1,4,2,11,17.7,0,0,77,69,18,0,0,0
1,4,1,10,19.3,0,0,86,134,62,0,0,1
1,2,1,8,21.7,0,0,183,134,18,0,0,0
1,1,1,7,9.6,0,0,222,134,53,0,0,0
1,4,2,11,15.7,0,0,183,69,18,0,0,0
1,4,2,11,17.3,0,0,183,69,18,0,0,0
1,4,2,11,35.4,0,0,58,69,18,0,0,1
0,4,2,11,18.3,0,0,183,69,18,0,0,1
1,4,1,11,8.9,0,0,183,134,18,0,30,0
0,1,1,6,8.1,0,0,211,134,0,0,0,1
1,5,3,23,4.8,0,0,321,134,18,0,7715,0
1,3,3,55,4.1,2,2,420,134,878,0,0,0
1,10,2,26,3.4,0,0,67,88,1985,0,0,1
1,2,1,8,9.9,0,0,89,69,18,0,0,0
0,4,2,12,3.4,0,0,53,69,489,0,0,1
1,1,1,19,8.3,0,0,232,153,77,0,0,0
1,4,2,11,9.6,0,0,58,69,18,0,0,0
1,4,2,11,12.7,0,0,183,69,18,0,0,0
1,4,1,11,6,0,0,183,134,18,0,30,0
1,4,2,12,19,0,0,183,69,18,0,64,1
1,4,1,10,12.4,0,0,79,134,18,0,0,1
1,3,3,39,9.3,0,0,420,134,0,0,0,1
1,14,4,41,9.6,2,2,67,88,1898,0,0,1
1,5,3,20,3.5,0,0,321,134,560,0,0,0
1,4,2,11,15.7,0,0,73,69,18,0,0,1
1,4,2,11,16,0,0,73,69,18,0,0,0
1,3,3,28,0.4,0,0,420,134,330,0,0,1
1,4,2,11,16.5,0,0,183,69,18,0,0,0
1,4,2,11,40.8,0,0,77,69,18,0,0,0
1,4,2,12,4.8,0,0,183,69,18,0,61,1
0,1,1,7,9.6,0,0,213,134,53,0,0,1
1,3,3,35,5.2,0,0,321,134,322,0,0,0
1,1,1,7,5.4,0,0,205,134,53,0,0,0
1,1,1,19,6.9,0,0,263,153,77,0,0,0
1,2,1,9,27.6,0,0,183,69,18,0,72,0
0,4,2,12,7.7,0,0,183,69,18,0,61,1
1,1,1,8,5.6,0,0,420,134,18,0,4,0
0,4,2,12,5,0,0,183,69,18,0,64,1
1,4,2,11,16.8,0,0,79,69,18,0,0,0
1,4,2,11,14.7,0,0,183,69,18,0,0,0
0,4,2,11,0.6,0,0,53,69,12849,0,0,1
1,1,1,6,10.5,0,0,191,134,0,0,0,1
1,4,2,11,11,0,0,183,69,18,0,0,0
1,4,1,11,10.1,0,0,78,134,2975,0,0,1
1,1,1,7,7.3,0,0,175,134,69,0,0,0
0,4,2,11,32,0,0,183,69,18,0,0,1
1,2,1,8,35.6,0,0,183,69,18,0,0,0
1,14,4,38,2.5,2,2,88,88,2778,0,0,1
0,4,2,51,3.6,0,0,183,69,54,0,0,1
1,5,3,23,4.8,0,0,321,134,18,0,6538,0
1,4,1,11,3.4,0,0,183,134,18,0,30,0
1,4,2,11,13.4,0,0,89,69,18,0,0,1
1,4,2,11,18.2,0,0,183,69,18,0,0,1
1,5,3,21,16.6,0,0,321,134,48,0,9195,0
1,4,2,11,18.7,0,0,84,69,18,0,0,0
0,4,2,11,4.6,0,0,183,69,116,0,0,1
1,1,1,8,26.8,0,0,420,134,18,0,4,0
0,2,2,24,19,0,0,321,134,778,0,0,1
1,4,2,11,14.2,0,0,74,69,18,0,0,0
1,4,2,11,7,0,0,183,69,18,0,0,1
1,4,2,11,15.9,0,0,84,69,18,0,0,0
0,10,2,26,3.1,0,0,51,88,489,0,0,1
1,4,2,11,12.1,0,0,183,69,18,0,0,0
1,4,2,11,24.5,0,0,183,69,18,0,0,0
1,4,2,11,21.7,0,0,73,69,18,0,0,1
1,10,2,25,9.5,0,0,72,88,18,0,0,0
1,4,1,11,9.2,0,0,183,134,18,0,30,0
1,5,1,16,74.3,0,0,79,82,18,0,60,0
1,4,2,12,10.7,0,0,183,69,18,0,61,0
0,4,2,12,13.6,0,0,183,69,18,0,61,1
1,2,2,39,3.4,0,0,420,134,528,0,57,0
1,4,1,11,4.6,0,0,183,134,18,0,30,0
1,4,1,11,5.7,0,0,183,134,18,0,30,0
1,10,2,25,7.9,0,0,54,88,92,0,0,1
1,4,2,11,8.9,0,0,80,69,18,0,0,0
1,1,1,7,11.1,0,0,173,134,53,0,0,0
1,4,2,11,15.1,0,0,74,69,18,0,0,0
1,4,2,12,3.4,0,0,183,69,18,0,62,1
1,4,2,11,10.3,0,0,55,69,18,0,0,0
1,1,1,7,20.1,1,1,0,147,134,366,0,1
0,4,2,12,1.1,0,0,183,69,18,0,61,1
0,1,1,14,8.9,0,0,261,153,0,0,0,1
1,3,3,62,30.9,2,2,321,134,1714,0,0,0
1,2,2,27,12.6,0,0,321,134,560,0,0,0
1,4,1,11,7.4,0,0,183,134,18,0,30,0
1,3,3,31,1.9,2,2,420,134,982,0,0,0
1,4,2,11,13.3,0,0,183,69,18,0,0,0
1,4,2,11,15.9,0,0,50,69,18,0,0,0
1,3,3,53,2.6,0,0,420,134,322,0,0,0
1,3,3,35,4.6,2,2,321,134,1726,0,0,0
1,4,1,11,7.8,0,0,183,134,18,0,30,0
0,4,1,49,2.4,0,0,50,134,62,0,0,1
1,4,2,12,21.7,1,1,0,183,69,181,0,1
