Is Benign(EOI)?,Number of DHT Markers,Number of DQT Markers,Total Number of Markers,Maximum size used in %,Max Marker Size for DHT(FFC4),Max Marker Size for DQT FFDB,Max Marker Size for APP1(FFE0),Max Marker Size for APP12(FFEF),Max Marker Size for COM(FFFE),Label
1,4,2,12,16.6,183,69,18,0,61,1
1,1,1,7,4.5,205,134,53,0,0,1
1,8,4,23,9.7,183,69,18,0,301,1
0,2,2,19,32.8,321,134,412,0,56,1
0,1,1,14,2.1,262,153,0,0,0,1
0,1,1,7,9.6,186,134,53,0,0,1
1,1,1,7,15.1,225,134,53,0,0,1
1,10,2,25,13.6,42,88,18,0,0,1
1,1,1,7,23.2,213,134,53,0,0,1
1,10,2,26,31.4,54,88,18,0,61,1
1,8,2,20,21.1,76,88,18,0,0,1
1,4,1,10,8.1,77,134,62,0,0,1
0,4,2,11,105.7,183,69,54,0,0,1
0,59,58,1209,3.6,12145,12556,15768,11771,13916,1
1,4,2,11,20.9,80,69,18,0,0,1
1,4,2,12,17.7,0,183,69,181,0,1
0,4,2,11,7.7,69,69,18,0,0,1
1,4,1,10,8.9,71,134,368,0,0,1
1,5,3,17,22.8,0,420,134,5023,0,1
0,4,2,12,14.2,183,69,18,0,61,1
1,10,2,25,8.2,71,88,18,0,0,1
1,4,2,12,10.1,70,69,18,0,84,1
1,4,1,10,8,82,134,62,0,0,1
1,1,1,7,21.1,0,179,134,216,0,1
1,2,2,29,4.6,420,134,64,0,0,1
1,3,3,39,9.3,420,134,0,0,0,1
1,4,2,11,4.6,183,69,18,0,0,1
1,10,2,25,2.5,80,88,18,0,0,1
0,4,2,12,1.1,183,69,18,0,61,1
0,4,2,11,8.4,183,69,116,0,0,1
0,12,1,368,21.6,71,153,480,42,16146,1
1,4,2,12,7,183,69,18,0,61,1
1,4,2,11,6.4,183,69,18,0,0,1
1,9,3,36,1.5,321,153,330,0,0,1
0,4,2,12,6.1,183,69,18,0,61,1
1,11,2,28,13.6,79,88,2505,0,0,1
0,4,2,11,0.6,53,69,12849,0,0,1
1,4,2,11,35.4,58,69,18,0,0,1
1,3,3,38,2.8,420,134,0,0,0,1
1,4,2,11,1.2,50,69,18,0,0,1
1,6,4,30,9.7,321,134,410,0,0,1
1,1,1,6,7.9,183,134,0,0,0,1
1,1,1,15,7,191,153,72,0,0,1
1,3,3,32,19.9,0,321,134,1125,0,1
1,10,2,25,16.9,88,88,18,0,0,1
0,3,3,40,15.9,420,134,722,0,0,1
1,3,3,29,1.4,0,321,153,0,0,1
1,4,1,10,9,95,134,62,0,0,1
1,4,1,10,3.3,64,134,62,0,0,1
1,4,2,11,5.3,79,69,18,0,0,1
